,Date,actural_return,historic_mean,predicted_return,f_err,r_err,RMSE_diff,se_lm,se_mean,,,,
228,635,-0.21,0.402716975,0.156529412,-0.612716975,-0.366529412,-0.114809289,0.375422091,0.13434381,,,,
229,636,0.44,0.154228946,0.138088235,0.285771054,0.301911765,-0.114484868,0.081665095,0.091150714,,,,
230,637,0.48,0.058388918,0.133088235,0.421611082,0.346911765,-0.114338993,0.177755905,0.120347772,,,,
231,638,-0.02,-0.277991224,0.128588235,0.257991224,-0.148588235,-0.114206963,0.066559472,0.022078464,,,,
232,641,-0.08,-0.340490046,0.118647059,0.260490046,-0.198647059,-0.114021464,0.067855064,0.039460654,,,,
233,642,0.92,0.033534275,0.114911765,0.886465725,0.805088235,-0.113841613,0.785821481,0.648167067,,,,
234,643,0.26,0.755778795,0.110911765,-0.495778795,0.149088235,-0.114218191,0.245796614,0.022227302,,,,
235,644,-0.42,-0.235536154,0.116911765,-0.184463846,-0.536911765,-0.113115443,0.03402691,0.288274243,,,,
236,645,-0.19,-0.084523507,0.121205882,-0.105476493,-0.311205882,-0.112586854,0.011125291,0.096849101,,,,
237,648,0.2,0.121059796,0.119558824,0.078940204,0.080441176,-0.112345223,0.006231556,0.006470783,,,,
238,649,0.03,-0.178853891,0.119117647,0.208853891,-0.089117647,-0.112204862,0.043619948,0.007941955,,,,
239,650,-0.81,-0.053963309,0.122441176,-0.756036691,-0.932441176,-0.110716851,0.571591478,0.869446548,,,,
240,651,-0.48,0.06680456,0.126176471,-0.54680456,-0.606176471,-0.110119735,0.298995227,0.367449913,,,,
241,652,-0.91,-0.206478363,0.126735294,-0.703521637,-1.036735294,-0.107780292,0.494942694,1.07482007,,,,
242,655,-0.77,0.238024236,0.120235294,-1.008024236,-0.890235294,-0.10780732,1.016112861,0.792518879,,,,
