,Date,actural_return,historic_mean,predicted_return,f_err,r_err,RMSE_diff,se_lm,se_mean,,
221,12975,0.35,0.317833546,-0.004361111,0.032166454,0.354361111,-0.11767188,0.001034681,0.125571797,,
222,12976,-0.09,0.192364989,-0.002083333,-0.282364989,-0.087916667,-0.11757431,0.079729987,0.00772934,,
223,12977,0.25,0.683143304,2.78E-05,-0.433143304,0.249972222,-0.117584849,0.187613122,0.062486112,,
224,12978,0.3,0.669769973,0.008388889,-0.369769973,0.291611111,-0.11741548,0.136729833,0.08503704,,
225,12979,-0.67,0.252808353,0.008666667,-0.922808353,-0.678666667,-0.117918265,0.851575257,0.460588444,,
226,12982,0.69,0.269433684,0.006,0.420566316,0.684,-0.116822488,0.176876026,0.467856,,
227,12983,-0.71,0.077551567,0.001083333,-0.787551567,-0.711083333,-0.116666128,0.620237471,0.505639507,,
228,12984,1.13,-0.631371578,-0.002916667,1.761371578,1.132916667,-0.120195313,3.102429835,1.283500174,,
229,12985,-0.28,0.706784403,-0.005416667,-0.986784403,-0.274583333,-0.121971267,0.973743457,0.075396007,,
230,12986,0.06,-0.174432925,-0.008916667,0.234432925,0.068916667,-0.121819185,0.054958796,0.004749507,,
231,12989,1.39,0.108396207,-0.008083333,1.281603793,1.398083333,-0.120193334,1.642508281,1.954637007,,
232,12990,0.66,-0.084850863,-0.006027778,0.744850863,0.666027778,-0.120040817,0.554802808,0.443593001,,
233,12991,-0.43,-0.545810516,-0.010333333,0.115810516,-0.419666667,-0.119357291,0.013412076,0.176120111,,
234,12992,0.41,-0.05590443,-0.017888889,0.46590443,0.427888889,-0.119119191,0.217066938,0.183088901,,
235,12993,0.75,-0.368203054,-0.014694444,1.118203054,0.764694444,-0.120172047,1.250378071,0.584757593,,
236,12996,0.09,0.198423786,-0.013666667,-0.108423786,0.103666667,-0.119915939,0.011755717,0.010746778,,
237,12997,-0.8,-0.333795184,-0.017,-0.466204816,-0.783,-0.118580282,0.217346931,0.613089,,
238,12998,-0.51,-0.022460651,-0.021777778,-0.487539349,-0.488222222,-0.118253152,0.237694617,0.238360938,,
239,12999,0.88,-0.030743511,-0.021916667,0.910743511,0.901916667,-0.117782404,0.829453743,0.813453674,,
240,13000,-0.66,-0.13955075,-0.017916667,-0.52044925,-0.642083333,-0.117093651,0.270867422,0.412271007,,
241,13003,-0.32,0.565050588,-0.017444444,-0.885050588,-0.302555556,-0.118348213,0.783314543,0.091539864,,
242,13004,-1.48,-0.192542472,-0.016111111,-1.287457528,-1.463888889,-0.116367605,1.657546885,2.142970679,,
243,13005,-0.36,0.072125765,-0.022888889,-0.432125765,-0.337111111,-0.116252736,0.186732677,0.113643901,,
244,13006,0.82,0.075339859,-0.017777778,0.744660141,0.837777778,-0.115478033,0.554518726,0.701871605,,
245,13007,0.03,-0.140920133,-0.01575,0.170920133,0.04575,-0.115300458,0.029213692,0.002093063,,
